theory,global_attribute_on_unnamed_lemma,use_apply,use_by,counter_example_finder,bad_style_command,lemma_transforming_attribute,auto_structural_composition,force_failure,low_level_apply_chain,unfinished_proof,global_attribute_changes,complex_isar_initial_method,diagnostic_command,simplifier_isar_initial_method,short_name,implicit_rule,unrestricted_auto,use_isar,proof_finder,smt_oracle,axiomatization_with_where,complex_method,apply_isar_switch,tactic_proofs,axiomatization_with_where
AODV.C_Aodv_Loop_Freedom,0,48,0,0,0,0,0,12,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,1,0
AODV.C_Aodv_Message,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.C_Aodv_Predicates,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.C_Fresher,0,117,0,0,0,0,0,44,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
AODV.C_Global_Invariants,0,178,0,0,0,0,0,68,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
AODV.C_Gtobcast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.C_Loop_Freedom,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.C_OAodv,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AODV.C_Quality_Increases,0,65,0,0,0,0,0,28,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
AODV.C_Seq_Invariants,0,64,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.D_Aodv,0,26,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
AODV.D_Aodv_Data,0,137,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.D_Aodv_Loop_Freedom,0,48,0,0,0,0,0,12,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,1,0
AODV.D_Aodv_Message,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.D_Aodv_Predicates,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.D_Fresher,0,122,0,0,0,0,0,44,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
AODV.D_Fwdrreqs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.D_Global_Invariants,0,178,0,0,0,0,0,68,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
AODV.D_Loop_Freedom,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.D_OAodv,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AODV.D_Quality_Increases,0,65,0,0,0,0,0,28,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
AODV.D_Seq_Invariants,0,72,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.E_All_ABCD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.E_Aodv,0,26,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
AODV.E_Aodv_Data,0,116,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.E_Aodv_Loop_Freedom,0,48,0,0,0,0,0,12,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,1,0
AODV.E_Aodv_Message,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.E_Aodv_Predicates,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.E_Fresher,0,117,0,0,0,0,0,44,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
AODV.E_Global_Invariants,0,178,0,0,0,0,0,68,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
AODV.E_Loop_Freedom,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.E_OAodv,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AODV.E_Quality_Increases,0,65,0,0,0,0,0,28,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
AODV.E_Seq_Invariants,0,69,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.Fresher,0,122,0,0,0,0,0,44,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
AODV.Global_Invariants,0,177,0,0,0,0,0,68,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
AODV.Loop_Freedom,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.OAodv,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AODV.Quality_Increases,0,65,0,0,0,0,0,28,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
AODV.Seq_Invariants,0,70,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVL-Trees.AVL,2,104,0,0,0,0,0,25,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
AVL-Trees.AVL2,0,35,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWN.AWN,0,78,0,0,0,0,0,28,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0
AWN.AWN_Cterms,0,204,0,0,0,0,0,44,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0
AWN.AWN_Invariants,0,77,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWN.AWN_Labels,0,19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWN.AWN_Main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWN.AWN_SOS,0,41,0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AWN.AWN_SOS_Labels,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWN.AWN_Term_Graph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWN.Closed,0,34,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWN.Inv_Cterms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWN.Invariants,0,27,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AWN.Lib,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWN.OAWN_Convert,0,52,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AWN.OAWN_Invariants,0,88,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWN.OAWN_SOS,0,49,0,0,0,0,0,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AWN.OAWN_SOS_Labels,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWN.OClosed_Lifting,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWN.OClosed_Transfer,0,322,0,0,0,0,0,115,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
AWN.OInvariants,0,81,0,0,0,0,0,17,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
AWN.ONode_Lifting,0,111,0,0,0,0,0,18,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0
AWN.OPnet,0,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWN.OPnet_Lifting,0,179,0,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AWN.Pnet,0,102,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWN.Qmsg,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWN.Qmsg_Lifting,0,87,0,0,0,0,0,24,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
AWN.Toy,0,107,0,0,0,0,0,47,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0
AWN.TransitionSystems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abortable_Linearizable_Modules.Consensus,0,19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abortable_Linearizable_Modules.IOA,0,33,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abortable_Linearizable_Modules.Idempotence,0,427,0,0,0,0,0,55,0,0,1,0,0,37,1,0,0,0,0,0,0,0,0,0,0
Abortable_Linearizable_Modules.RDR,0,53,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abortable_Linearizable_Modules.SLin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abortable_Linearizable_Modules.Sequences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abortable_Linearizable_Modules.Simulations,0,58,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Abs_Int_ITP2012.ACom,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Abs_Int_ITP2012.Abs_Int0,7,56,1,0,0,1,0,15,0,0,0,0,0,1,0,0,1,17,0,0,0,2,0,5,0
Abs_Int_ITP2012.Abs_Int1,0,70,1,0,0,0,0,13,0,0,0,0,0,3,0,0,6,28,0,0,0,0,0,1,0
Abs_Int_ITP2012.Abs_Int1_const,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
