theory,global_attribute_on_unnamed_lemma,use_apply,use_by,counter_example_finder,bad_style_command,lemma_transforming_attribute,auto_structural_composition,force_failure,low_level_apply_chain,unfinished_proof,global_attribute_changes,complex_isar_initial_method,diagnostic_command,simplifier_isar_initial_method,short_name,implicit_rule,unrestricted_auto,use_isar,proof_finder,smt_oracle,axiomatization_with_where,complex_method,apply_isar_switch,tactic_proofs,axiomatization_with_where
CryptHOL.Set_Applicative,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CryptoBasedCompositionalProperties.CompLocalSecrets,0,36,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,2
CryptoBasedCompositionalProperties.KnowledgeKeysSecrets,0,144,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2
CryptoBasedCompositionalProperties.ListExtras,0,34,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CryptoBasedCompositionalProperties.Secrecy,0,70,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
CryptoBasedCompositionalProperties.Secrecy_types,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CryptoBasedCompositionalProperties.inout,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cube.Cube,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Cube.Example,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0
Cubic_Quartic_Equations.Cardanos_Formula,0,141,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Cubic_Quartic_Equations.Complex_Roots,0,141,0,0,0,0,0,52,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
Cubic_Quartic_Equations.Cubic_Polynomials,0,43,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cubic_Quartic_Equations.Ferraris_Formula,0,18,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cubic_Quartic_Equations.Quartic_Polynomials,0,51,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
DFS_Framework.Cyc_Check,1,32,0,0,0,0,0,10,0,0,0,0,7,1,0,0,0,17,0,0,0,0,0,0,0
DFS_Framework.DFS_All_Examples,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFS_Framework.DFS_Chapter_Examples,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFS_Framework.DFS_Chapter_Framework,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFS_Framework.DFS_Find_Path,3,56,0,0,0,0,0,21,0,0,0,0,5,0,0,0,0,57,0,0,0,0,1,0,0
DFS_Framework.DFS_Framework,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFS_Framework.DFS_Framework_Misc,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFS_Framework.DFS_Framework_Refine_Aux,0,10,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,14,0,0,0,0,1,0,0
DFS_Framework.DFS_Invars_Basic,0,360,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
DFS_Framework.DFS_Invars_SCC,0,100,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFS_Framework.Feedback_Arcs,1,28,0,0,0,0,0,8,0,0,0,0,10,1,0,2,1,30,0,0,0,0,0,0,0
DFS_Framework.General_DFS_Structure,0,6,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,95,0,0,0,0,0,0,0
DFS_Framework.Impl_Rev_Array_Stack,0,13,1,0,0,0,0,15,0,0,0,0,2,0,0,7,0,58,0,0,0,0,1,1,0
DFS_Framework.Nested_DFS,1,96,1,0,0,0,0,45,0,0,0,0,0,1,0,0,0,85,0,0,0,0,3,2,0
DFS_Framework.On_Stack,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0
DFS_Framework.Param_DFS,0,70,3,0,0,0,0,24,0,0,0,0,0,0,0,2,1,65,0,0,0,0,0,0,0
DFS_Framework.Reachable_Nodes,0,22,0,0,0,0,0,4,0,0,0,0,2,0,0,2,0,22,0,0,0,0,0,0,0
DFS_Framework.Rec_Impl,0,19,1,0,0,0,29,14,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0
DFS_Framework.Restr_Impl,0,9,0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,95,0,0,0,0,0,1,0
DFS_Framework.Simple_Impl,0,14,1,0,0,0,0,10,0,0,0,0,2,0,0,0,3,66,0,0,0,0,0,0,0
DFS_Framework.Tailrec_Impl,0,9,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0
DFS_Framework.Tarjan,2,368,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,4,0
DFS_Framework.Tarjan_LowLink,0,139,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM_Components.Core_DOM_Components,0,282,0,0,0,0,0,30,0,0,0,0,0,3,0,0,0,87,0,0,0,0,0,0,0
DOM_Components.Shadow_DOM_Components,0,132,1,0,0,0,0,9,0,0,0,0,0,13,0,0,0,122,0,0,0,0,0,0,0
DOM_Components.fancy_tabs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPRM_Theorem.All_Equations,0,32,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0
DPRM_Theorem.All_Equations_Invariance,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
DPRM_Theorem.All_State_Equations,0,15,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
DPRM_Theorem.Alpha_Sequence,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,12,0,0,0,0,0,0,0
DPRM_Theorem.Assignments,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
DPRM_Theorem.Binary_And,0,35,0,0,0,0,0,6,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0
DPRM_Theorem.Binary_Masking,0,17,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPRM_Theorem.Binary_Orthogonal,0,42,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPRM_Theorem.Binomial_Coefficient,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0
DPRM_Theorem.CommutationRelations,0,166,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DPRM_Theorem.Constants_Equations,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0
DPRM_Theorem.DPRM,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
DPRM_Theorem.Digit_Function,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0
DPRM_Theorem.Diophantine_Relations,0,36,0,0,0,0,0,10,0,0,0,0,0,0,0,1,3,15,0,0,0,0,0,0,0
DPRM_Theorem.Equation_Setup,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DPRM_Theorem.Existential_Quantifier,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0
DPRM_Theorem.Exponential_Relation,0,26,0,0,0,0,0,8,0,0,0,0,0,0,0,1,2,14,0,0,0,0,0,0,0
DPRM_Theorem.Exponentiation,0,628,3,0,0,0,0,277,0,0,0,0,0,1,2,2,17,49,0,0,0,1,0,3,0
DPRM_Theorem.MachineEquations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPRM_Theorem.MachineMasking,0,136,0,0,0,0,0,19,0,0,0,0,0,0,3,0,7,13,0,0,0,0,1,0,0
DPRM_Theorem.Machine_Equation_Equivalence,0,76,0,0,0,0,0,5,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0
DPRM_Theorem.Mask_Equations,0,18,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0
DPRM_Theorem.Modulo_Divisibility,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0
DPRM_Theorem.MultipleStepRegister,0,101,0,0,0,0,6,11,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0
DPRM_Theorem.MultipleStepState,0,98,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0
DPRM_Theorem.MultipleToSingleSteps,0,294,0,0,0,0,0,44,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0
DPRM_Theorem.Parametric_Polynomials,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPRM_Theorem.RM_Sums_Diophantine,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,2,8,16,0,0,0,0,0,0,0
DPRM_Theorem.RegisterMachineProperties,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,6,0,0,0,0,0,0,0
DPRM_Theorem.RegisterMachineSimulation,0,74,0,0,0,0,5,9,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0
DPRM_Theorem.RegisterMachineSpecification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPRM_Theorem.Register_Equations,0,65,0,0,0,0,0,26,0,0,0,0,0,0,0,1,5,28,0,0,0,0,0,0,0
DPRM_Theorem.Register_Machine_Sums,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DPRM_Theorem.SingleStepRegister,0,18,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0
DPRM_Theorem.SingleStepState,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0
DPRM_Theorem.State_0_Equation,0,46,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0
DPRM_Theorem.State_Unique_Equations,0,19,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
DPRM_Theorem.State_d_Equation,0,53,0,0,0,0,0,11,0,0,0,0,0,2,0,1,3,12,0,0,0,0,0,0,0
DPT-SAT-Solver.DPT_SAT_Solver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPT-SAT-Solver.DPT_SAT_Tests,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0
DataRefinementIBP.DataRefinement,1,16,0,0,0,0,0,26,0,0,0,0,0,0,0,0,3,79,0,0,0,0,0,13,0
DataRefinementIBP.Diagram,0,20,3,0,0,0,0,25,0,0,0,0,0,0,0,0,12,94,0,0,0,0,0,12,0
DataRefinementIBP.Hoare,0,19,4,0,0,0,0,21,0,0,0,0,0,0,0,0,1,39,0,0,0,0,0,8,0
DataRefinementIBP.Preliminaries,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DataRefinementIBP.Statements,0,14,2,0,0,0,0,10,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,4,0
Datatype_Order_Generator.Derive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Datatype_Order_Generator.Derive_Aux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Datatype_Order_Generator.Derive_Examples,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Datatype_Order_Generator.Hash_Generator,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Datatype_Order_Generator.Order_Generator,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Datatypes.Datatypes,0,21,0,0,0,0,0,3,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
Datatypes.Setup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decl_Sem_Fun_PL.BigStepLam,0,120,0,0,0,0,0,34,0,0,0,0,0,0,0,0,1,55,0,0,0,0,1,8,0
Decl_Sem_Fun_PL.ChangeEnv,0,47,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,2,0
Decl_Sem_Fun_PL.DeclSemAsDenot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Decl_Sem_Fun_PL.DeclSemAsDenotFSet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Decl_Sem_Fun_PL.DeclSemAsNDInterpFSet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Decl_Sem_Fun_PL.DenotCompleteFSet,0,131,0,0,0,0,0,43,0,0,0,0,0,0,0,0,9,74,0,0,0,0,0,12,0
Decl_Sem_Fun_PL.DenotCongruenceFSet,0,44,0,0,0,1,0,19,0,0,0,0,0,0,0,0,3,25,0,0,0,0,0,0,0
Decl_Sem_Fun_PL.DenotEqualitiesFSet,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
Decl_Sem_Fun_PL.DenotLam5,0,48,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,2,0
Decl_Sem_Fun_PL.DenotSoundFSet,0,73,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,146,0,0,0,0,3,15,0
Decl_Sem_Fun_PL.EquivDenotInterTypes,0,38,0,0,0,0,0,37,0,0,0,0,0,0,1,0,0,256,0,0,0,0,1,3,0
Decl_Sem_Fun_PL.EquivRelationalDenotFSet,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0
Decl_Sem_Fun_PL.InterTypeSystem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decl_Sem_Fun_PL.Lambda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decl_Sem_Fun_PL.MutableRef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Decl_Sem_Fun_PL.MutableRefProps,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decl_Sem_Fun_PL.Optimizer,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,19,0,0,0,0,0,1,0
Decl_Sem_Fun_PL.RelationalSemFSet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decl_Sem_Fun_PL.SmallStepLam,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Decl_Sem_Fun_PL.SystemF,0,83,0,0,0,0,0,63,0,0,0,0,0,0,2,0,6,209,0,0,0,0,3,31,0
Decl_Sem_Fun_PL.ValueProps,0,30,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,103,0,0,0,0,5,1,0
Decl_Sem_Fun_PL.Values,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decl_Sem_Fun_PL.ValuesFSet,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decl_Sem_Fun_PL.ValuesFSetProps,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decreasing-Diagrams.Decreasing_Diagrams,0,673,0,0,0,0,0,23,0,0,0,0,0,0,1,0,33,39,0,0,0,0,0,0,0
Decreasing-Diagrams-II.Decreasing_Diagrams_II,0,171,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Decreasing-Diagrams-II.Decreasing_Diagrams_II_Aux,0,49,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dedekind_Real.Dedekind_Real,0,347,6,0,0,0,0,157,0,0,0,0,1,1,0,0,0,21,0,0,0,0,0,1,0
Deep_Learning.DL_Concrete_Matrices,0,21,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Deep_Learning.DL_Deep_Model,0,218,0,0,0,0,0,54,0,0,0,0,0,0,1,1,0,12,0,0,0,0,0,0,0
Deep_Learning.DL_Deep_Model_Poly,0,71,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Deep_Learning.DL_Flatten_Matrix,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deep_Learning.DL_Fundamental_Theorem_Network_Capacity,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Deep_Learning.DL_Missing_Finite_Set,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deep_Learning.DL_Network,0,157,0,0,0,0,0,39,0,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0
Deep_Learning.DL_Rank_CP_Rank,0,18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deep_Learning.DL_Shallow_Model,0,30,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Deep_Learning.Lebesgue_Functional,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deep_Learning.Lebesgue_Zero_Set,0,60,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Deep_Learning.Tensor,0,47,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Deep_Learning.Tensor_Matricization,0,50,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Deep_Learning.Tensor_Plus,0,52,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
Deep_Learning.Tensor_Product,0,71,0,0,0,0,0,16,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0
Deep_Learning.Tensor_Rank,0,43,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Deep_Learning.Tensor_Scalar_Mult,0,28,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deep_Learning.Tensor_Subtensor,0,26,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Deep_Learning.Tensor_Unit_Vec,0,17,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta_System_Lemma.Cardinal_Library,0,118,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Delta_System_Lemma.Cofinality,0,216,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta_System_Lemma.Cohen_Posets,0,39,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Delta_System_Lemma.Delta_System,0,43,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Delta_System_Lemma.Konig,0,32,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Delta_System_Lemma.ZF_Library,0,175,0,0,0,0,0,50,0,0,0,0,0,2,0,0,1,4,0,0,0,2,0,3,0
Density_Compiler.Density_Predicates,0,106,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0
Density_Compiler.PDF_Compiler,0,276,0,0,0,0,0,61,0,0,0,0,0,12,0,0,2,69,0,0,0,0,0,0,0
Density_Compiler.PDF_Compiler_Pred,0,346,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,54,0,0,0,1,0,1,0
Density_Compiler.PDF_Density_Contexts,0,192,0,0,0,0,0,71,0,0,0,0,0,0,0,0,2,80,0,0,0,3,0,0,0
Density_Compiler.PDF_Semantics,0,178,1,0,0,0,0,80,0,0,0,0,0,0,0,1,2,43,0,0,0,0,0,1,0
Density_Compiler.PDF_Target_Density_Contexts,0,71,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0
Density_Compiler.PDF_Target_Semantics,0,188,0,0,0,0,0,65,0,0,0,0,0,0,0,1,0,45,0,0,0,1,0,0,0
Density_Compiler.PDF_Transformations,0,116,0,0,0,0,0,44,0,0,0,0,0,0,0,0,1,22,0,0,0,1,0,4,0
Density_Compiler.PDF_Values,0,139,0,0,0,0,0,54,0,0,0,0,0,0,0,0,1,37,0,0,0,0,0,1,0
Dependent_SIFUM_Refinement.CompositionalRefinement,6,335,2,0,0,0,0,119,0,0,0,0,0,6,0,0,0,289,0,0,0,0,1,22,0
Dependent_SIFUM_Refinement.Eg1,3,6,3,0,0,0,0,35,0,0,0,0,1,0,0,0,0,85,0,0,0,0,0,5,0
Dependent_SIFUM_Refinement.Eg1Eg2,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,27,0
Dependent_SIFUM_Refinement.Eg1Eg2RefinementSimple,0,126,0,0,0,0,0,66,0,0,0,0,0,5,0,0,0,183,0,0,0,1,0,16,0
Dependent_SIFUM_Refinement.Eg1RefinementTrivial,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Dependent_SIFUM_Refinement.Eg2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dependent_SIFUM_Refinement.EgHighBranchRevC,0,481,2,0,0,0,0,207,0,0,0,0,8,32,1,0,0,652,0,0,0,3,0,55,0
Dependent_SIFUM_Type_Systems.Compositionality,0,317,10,0,0,1,0,58,0,0,0,0,0,1,0,0,5,152,0,0,0,0,1,13,0
Dependent_SIFUM_Type_Systems.Example,1,10,8,0,0,0,0,11,0,0,0,0,0,0,1,0,0,182,0,0,0,0,0,6,0
Dependent_SIFUM_Type_Systems.Example_Swap_Add,3,10,14,0,0,0,0,87,0,0,1,0,0,0,0,0,0,283,0,0,0,0,0,7,0
Dependent_SIFUM_Type_Systems.Example_TypeSystem,4,5,6,0,0,0,0,59,0,0,1,0,0,0,0,0,0,135,0,0,0,0,0,5,0
Dependent_SIFUM_Type_Systems.Language,0,27,1,0,0,0,0,9,0,0,0,0,0,0,0,0,3,87,0,0,0,0,0,2,0
Dependent_SIFUM_Type_Systems.LocallySoundModeUse,0,76,3,0,0,0,0,31,0,0,0,0,0,1,0,0,0,233,0,0,0,0,4,8,0
Dependent_SIFUM_Type_Systems.Preliminaries,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Dependent_SIFUM_Type_Systems.Security,2,31,5,0,0,0,0,12,0,0,0,0,0,1,0,0,0,24,0,0,0,0,0,3,0
Dependent_SIFUM_Type_Systems.TypeSystem,0,574,27,0,0,0,0,164,0,0,0,0,0,10,0,0,13,743,1,0,0,0,2,46,0
Dependent_SIFUM_Type_Systems.TypeSystemTactics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Depth-First-Search.DFS,2,32,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0
Derangements.Derangements,0,133,0,0,0,0,1,36,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Deriving.Comparator,0,25,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deriving.Comparator_Generator,0,37,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Deriving.Compare,0,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Deriving.Compare_Generator,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deriving.Compare_Instances,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Deriving.Compare_Order_Instances,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deriving.Compare_Rat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deriving.Compare_Real,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deriving.Countable_Generator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deriving.Derive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deriving.Derive_Examples,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deriving.Derive_Manager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deriving.Equality_Generator,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deriving.Equality_Instances,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deriving.Generator_Aux,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deriving.Hash_Generator,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deriving.Hash_Instances,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deriving.RBT_Comparator_Impl,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deriving.RBT_Compare_Order_Impl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Descartes_Sign_Rule.Descartes_Sign_Rule,0,162,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Design_Theory.BIBD,0,262,1,0,0,0,0,95,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0
Design_Theory.Block_Designs,0,98,0,0,0,0,0,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Design_Theory.Design_Basics,0,171,0,0,0,0,0,85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Design_Theory.Design_Isomorphisms,0,91,0,0,0,0,0,36,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0
Design_Theory.Design_Operations,0,120,0,0,0,0,0,55,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
